cue_file,flanker,pos,correct,fix1,cue_time,stimStart,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_1.started,instr_1.stopped,image.started,image.stopped,instr_2.started,instr_2.stopped,image_2_1.started,image_2_1.stopped,image_2_2.started,image_2_2.stopped,text.started,text.stopped,image_3.started,image_3.stopped,instr_4.started,instr_4.stopped,image_4.started,image_4.stopped,pract_instr.started,pract_instr.stopped,fix_1.started,fix_1.stopped,pract_warning.started,pract_warning.stopped,fix_2.started,fix_2.stopped,pract_target.started,pract_target.stopped,pract_resp.keys,pract_resp.corr,pract_resp.rt,pract_resp.started,pract_resp.stopped,text_3.started,text_3.stopped,practice_res.started,practice_res.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,participant,date,expName,psychopyVersion,frameRate,
ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0.0,0.5,0,0,0,1,,,,,,,,,10.966491500032134,None,10.966491500032134,None,12.495414100005291,None,12.495414100005291,None,12.495414100005291,None,13.58196159999352,None,13.58196159999352,None,14.029995999997482,None,14.029995999997482,None,15.09570290002739,None,16.684074699995108,16.82256200001575,16.81492380000418,16.81492380000418,16.81492380000418,17.226214300026186,17.226214300026186,None,i,1,0.7314022000064142,17.132044000027236,None,17.88958710001316,None,,,,,,,,,,,,,,2020_Jul_01_1720,ANT,2020.1.3,60.01842565723753,
ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.409247000003234,19.361631400010083,19.353300900023896,19.465881400043145,19.465881400043145,19.862660700047854,19.862660700047854,None,i,1,0.5837283000000753,19.781788100022823,None,20.37947310000891,None,,,,,,,,,,,,,,2020_Jul_01_1720,ANT,2020.1.3,60.01842565723753,
ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7000000000000002,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.89795920002507,22.09850760002155,22.085255400044844,22.198770300019532,22.198770300019532,22.59623050002847,22.59623050002847,None,i,1,0.44900640001287684,22.581970800005365,None,23.045183500042185,None,,,,,,,,,,,,,,2020_Jul_01_1720,ANT,2020.1.3,60.01842565723753,
ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0.0,0.5,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.556855500035454,23.66550990001997,23.635728100023698,23.635728100023698,23.635728100023698,24.04695280001033,24.04695280001033,None,i,1,0.6142043000436388,24.03206290001981,None,24.66242589999456,None,,,,,,,,,,,,,,2020_Jul_01_1720,ANT,2020.1.3,60.01842565723753,
ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8000000000000003,0,4,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.17517860000953,26.481571100011934,26.46869480004534,26.58474360004766,26.58474360004766,26.995947999996133,26.995947999996133,None,e,1,0.6482398000080138,26.965037500020117,None,27.628742500033695,None,,,,,,,,,,,,,,2020_Jul_01_1720,ANT,2020.1.3,60.01842565723753,
ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2.0,0,5,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.138541700027417,29.64830170001369,29.63510190002853,29.748957300034817,29.748957300034817,30.146070900023915,30.146070900023915,None,e,1,0.5314459000364877,30.131819000001997,None,30.67884629999753,None,,,,,,,,,,,,,,2020_Jul_01_1720,ANT,2020.1.3,60.01842565723753,
ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.191792600031476,32.798032800026704,32.785153400036506,32.89916180004366,32.89916180004366,33.29627640004037,33.29627640004037,None,i,1,0.5828029999975115,33.281859300041106,None,33.87882800004445,None,,,,,,,,,,,,,,2020_Jul_01_1720,ANT,2020.1.3,60.01842565723753,
ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.392547100025695,35.1982149000396,35.18527970003197,35.29880780004896,35.29880780004896,35.695873700024094,35.695873700024094,None,e,1,0.4812877000076696,35.68160380003974,None,36.17867470002966,None,,,,,,,,,,,,,,2020_Jul_01_1720,ANT,2020.1.3,60.01842565723753,
ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0.0,0.5,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.69265710003674,36.798312500002794,36.785131000040565,36.785131000040565,36.785131000040565,37.19612999999663,37.19612999999663,None,e,1,0.6318933000438847,37.18177600001218,None,37.828704999992624,None,,,,,,,,,,,,,,2020_Jul_01_1720,ANT,2020.1.3,60.01842565723753,
ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.33975720003946,39.74829380004667,39.718484200013336,39.83213070000056,39.83213070000056,40.22920270002214,40.22920270002214,None,i,1,0.4313634000136517,40.2150717000477,None,40.66209699999308,None,,,,,,,,,,,,,,2020_Jul_01_1720,ANT,2020.1.3,60.01842565723753,
ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.174287100031506,42.283091699995566,42.2682987000444,42.382279700017534,42.382279700017534,42.77926130004926,42.77926130004926,None,e,1,0.448039399983827,42.764882799994666,None,43.22852230002172,None,,,,,,,,,,,,,,2020_Jul_01_1720,ANT,2020.1.3,60.01842565723753,
