pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,,ANT_images/down.png,ANT_images/cong_r.png,-0.25,i,0.4,0.1,0.9,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,space,1.60847,space,2.93497,i,1,1.456185,0,0,0,45,1,1.3,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,-0.25,e,0.4,0.1,0.9,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,e,1,1.384665,0,1,1,32,1,1.3,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,2,2,39,1,0.3,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,-0.25,i,1.1,0.1,1.6,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,3,3,33,1,0.6,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,e,1,1.55817,0,4,4,16,1,1.2,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,5,5,22,1,0.4,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,6,6,41,1,0.8,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/neu_r.png,0.25,i,0.8,0.1,1.3,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,7,7,37,1,0.9,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,-0.25,e,0.5,0.1,1,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,e,1,1.46929,0,8,8,30,1,1.2,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,9,9,42,1,0.9,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,10,10,35,1,0.1,,,,,,,,,,
