pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,space,4.073,space,7.43,,0,0,0,0,35,1,0.1,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,1,1,22,1,0.4,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,2,2,29,1,0.8,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,-0.25,e,1.5,0.1,2,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,3,3,20,1,0.2,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,i,1,0,4,4,1,1,1.6,1.118,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,5,5,16,1,1.2,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,i,1,0,6,6,9,1,1.6,1.185,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,7,7,38,1,0.2,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,i,1,0,8,8,5,1,1.6,1.183,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,9,9,34,1,0.2,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,0.25,e,1,0.1,1.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,10,10,28,1,0.7,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,e,1,0,11,11,8,1,1.6,1.09,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,0.25,e,1.2,0.1,1.7,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,12,12,14,1,0.5,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,13,13,19,1,1,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,14,14,39,1,0.3,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,0.25,e,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,e,1,0,15,15,0,1,1.6,1.214,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,0.25,e,0.6,0.1,1.1,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,16,16,24,1,1.1,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,i,1,0,17,17,3,1,1.6,1.059,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,-0.25,e,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,e,1,0,18,18,6,1,1.6,1.049,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/neu_r.png,-0.25,i,0.6,0.1,1.1,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,19,19,43,1,1.1,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,20,20,41,1,0.8,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/neu_r.png,0.25,i,0.8,0.1,1.3,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,21,21,37,1,0.9,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,-0.25,i,1.6,0.1,2.1,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,22,22,21,1,0.1,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,-0.25,i,1.1,0.1,1.6,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,23,23,33,1,0.6,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,24,24,25,1,0.5,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,25,25,15,1,0.3,,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,26,26,47,1,0.7,,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/cong_r.png,-0.25,i,0.4,0.1,0.9,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,i,1,0,27,27,45,1,1.3,1.512,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,-0.25,i,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,i,1,0,28,28,11,1,1.6,1.159,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,29,29,18,1,0.9,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,30,30,27,1,0.4,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,-0.25,e,0.4,0.1,0.9,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,31,31,32,1,1.3,,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,32,32,46,1,0.4,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,0.25,e,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,e,1,0,33,33,4,1,1.6,1.239,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,0.25,e,0.6,0.1,1.1,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,e,1,0,34,34,26,1,1.1,1.647,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,35,35,13,1,0.7,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,e,1,0,36,36,2,1,1.6,1.366,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,-0.25,i,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,i,1,0,37,37,7,1,1.6,1.121,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,38,38,40,1,1.2,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,-0.25,e,0.5,0.1,1,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,e,1,0,39,39,30,1,1.2,1.646,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,40,40,42,1,0.9,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,41,41,31,1,1,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,-0.25,e,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,e,1,0,42,42,10,1,1.6,1.235,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,-0.25,i,0.9,0.1,1.4,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,43,43,23,1,0.8,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,44,44,12,1,0.6,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,45,45,36,1,0.3,,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,46,46,44,1,0.5,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,i,1,0,47,47,17,1,1.3,1.556,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/neu_r.png,-0.25,i,0.6,0.1,1.1,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,0,48,43,1,1.1,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,1,49,39,1,0.3,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,2,50,22,1,0.4,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,3,51,31,1,1,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,4,52,34,1,0.2,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,0.25,e,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,e,1,1,5,53,0,1,1.6,1.231,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/cong_r.png,-0.25,i,0.4,0.1,0.9,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,i,1,1,6,54,45,1,1.3,1.559,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,0.25,e,1.2,0.1,1.7,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,7,55,14,1,0.5,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,0.25,e,0.6,0.1,1.1,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,8,56,26,1,1.1,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,0.25,e,0.6,0.1,1.1,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,9,57,24,1,1.1,,,,,,,,,,,
