cue_file,flanker,pos,correct,fix1,cue_time,stimStart,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,instr_1.started,instr_1.stopped,image.started,image.stopped,instr_2.started,instr_2.stopped,image_2_1.started,image_2_1.stopped,image_2_2.started,image_2_2.stopped,text.started,text.stopped,image_3.started,image_3.stopped,instr_4.started,instr_4.stopped,image_4.started,image_4.stopped,pract_instr.started,pract_instr.stopped,fix_1.started,fix_1.stopped,pract_warning.started,pract_warning.stopped,fix_2.started,fix_2.stopped,pract_target.started,pract_target.stopped,pract_resp.keys,pract_resp.corr,pract_resp.rt,pract_resp.started,pract_resp.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,0,0,0,8,14.201603599998634,None,14.201603599998634,None,15.343330000003334,None,15.343330000003334,None,15.343330000003334,None,15.91422259999672,None,15.91422259999672,None,16.763067099964246,None,16.763067099964246,None,17.436233799962793,None,18.72742129996186,20.138961099961307,20.088640799978748,20.269265999959316,20.269265999959316,20.670339399948716,20.670339399948716,None,i,1,0.6489361000130884,20.48940819996642,None,21.166433599952143,None,,001,2020_Jul_01_1602,ANT,2020.1.3,59.99048550638878,
ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,0,1,1,5,,,,,,,,,,,,,,,,,,,,,21.752795599983074,22.55572750000283,22.542626599955838,22.656448099995032,22.656448099995032,23.053676299983636,23.053676299983636,None,e,1,0.532441999996081,23.039054900000338,None,23.586189699999522,None,,001,2020_Jul_01_1602,ANT,2020.1.3,59.99048550638878,
ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,0,2,2,23,,,,,,,,,,,,,,,,,,,,,24.17976779997116,24.58896059996914,24.559163799975067,24.67289599997457,24.67289599997457,25.070058799989056,25.070058799989056,None,i,1,0.49872360000154004,25.055899299972225,None,25.569437599973753,None,,001,2020_Jul_01_1602,ANT,2020.1.3,59.99048550638878,
ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0.0,0.5,0,3,3,3,,,,,,,,,,,,,,,,,,,,,26.15466189995641,26.255573100002948,26.242578999954276,26.242578999954276,26.242578999954276,26.653468000004068,26.653468000004068,None,i,1,0.5658785999985412,26.63896799995564,None,27.219408000004478,None,,001,2020_Jul_01_1602,ANT,2020.1.3,59.99048550638878,
ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,0,4,4,17,,,,,,,,,,,,,,,,,,,,,27.80341110000154,28.70578309998382,28.69249539996963,28.806215799995698,28.806215799995698,29.203348899958655,29.203348899958655,None,i,1,0.48242229997413233,29.188990299997386,None,29.68613289995119,None,,001,2020_Jul_01_1602,ANT,2020.1.3,59.99048550638878,
ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,0,5,5,16,,,,,,,,,,,,,,,,,,,,,30.276503899949603,31.688960500003304,31.675902299990412,31.789504799991846,31.789504799991846,32.18681959999958,32.18681959999958,None,e,1,0.43207619996974245,32.17250659997808,None,32.619435200002044,None,,001,2020_Jul_01_1602,ANT,2020.1.3,59.99048550638878,
ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7000000000000002,0,6,6,18,,,,,,,,,,,,,,,,,,,,,33.219129299977794,34.42205469997134,34.408798299962655,34.522891799977515,34.522891799977515,34.92019330000039,34.92019330000039,None,e,1,0.5323254999821074,34.90569439996034,None,35.45254049997311,None,,001,2020_Jul_01_1602,ANT,2020.1.3,59.99048550638878,
ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0.0,0.5,0,7,7,4,,,,,,,,,,,,,,,,,,,,,36.02902939997148,36.13891489995876,36.109356999979354,36.109356999979354,36.109356999979354,36.520087599987164,36.520087599987164,None,i,1,0.48232239997014403,36.50570979999611,None,37.002628799993545,None,,001,2020_Jul_01_1602,ANT,2020.1.3,59.99048550638878,
ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1.0,0.1,1.5,0,8,8,6,,,,,,,,,,,,,,,,,,,,,37.58372159994906,38.588927100005094,38.575758899969514,38.68946490000235,38.68946490000235,39.086751299968455,39.086751299968455,None,i,1,0.43062930001178756,39.07225549995201,None,39.51800399995409,None,,001,2020_Jul_01_1602,ANT,2020.1.3,59.99048550638878,
ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,0,9,9,10,,,,,,,,,,,,,,,,,,,,,40.095064599998295,40.803037699952256,40.788536299951375,40.9040119999554,40.9040119999554,41.30167799995979,41.30167799995979,None,i,1,0.49947569996584207,41.287074299994856,None,41.801216799998656,None,,001,2020_Jul_01_1602,ANT,2020.1.3,59.99048550638878,
