cue_file,flanker,pos,correct,fix1,cue_time,stimStart,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_1.started,instr_1.stopped,image.started,image.stopped,instr_2.started,instr_2.stopped,image_2_1.started,image_2_1.stopped,image_2_2.started,image_2_2.stopped,text.started,text.stopped,image_3.started,image_3.stopped,instr_4.started,instr_4.stopped,image_4.started,image_4.stopped,pract_instr.started,pract_instr.stopped,fix_1.started,fix_1.stopped,pract_warning.started,pract_warning.stopped,fix_2.started,fix_2.stopped,pract_target.started,pract_target.stopped,pract_resp.keys,pract_resp.corr,pract_resp.rt,pract_resp.started,pract_resp.stopped,text_3.started,text_3.stopped,practice_res.started,practice_res.stopped,practice_accuracy.started,practice_accuracy.stopped,response_time.started,response_time.stopped,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,0,0,0,23,,,,,,,,,15.999235299997963,None,15.999235299997963,None,17.23741699999664,None,17.23741699999664,None,17.23741699999664,None,18.644307500042487,None,18.644307500042487,None,19.175148500013165,None,19.175148500013165,None,19.50159410003107,None,20.2566247000359,20.66274490003707,20.613103100040462,20.828514599998016,20.828514599998016,21.25621920003323,21.25621920003323,None,i,1,0.7994823000044562,21.012871300044935,None,21.84679610002786,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8000000000000003,0,1,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.43565200001467,23.745979800005443,23.716253500024322,23.82997780002188,23.82997780002188,24.22703490004642,24.22703490004642,None,e,1,0.6645840000128374,24.212806800031103,None,24.89260700001614,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0.0,0.5,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.47993990004761,25.579847600020003,25.579847600020003,25.579847600020003,25.579847600020003,25.976728400040884,25.976728400040884,None,e,1,0.8172261000145227,25.976728400040884,None,26.809294900042005,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1.0,0.1,1.5,0,3,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.36796050000703,28.37932870001532,28.366175200033467,28.479551500000525,28.479551500000525,28.876965800009202,28.876965800009202,None,i,1,0.6320527999778278,28.862744700047188,None,29.50963230000343,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.092638700036332,31.195965100021567,31.182856200030074,31.296337700041477,31.296337700041477,31.693545999994967,31.693545999994967,None,e,1,0.5665634000324644,31.679397400002927,None,32.25956800003769,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,0,5,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.84987150004599,34.26245460001519,34.24964390002424,34.363076800014824,34.363076800014824,34.760405600012746,34.760405600012746,None,e,1,0.5325634999899194,34.745868400030304,None,35.29294460004894,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0.0,0.5,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.87863140000263,35.97910680004861,35.96613930002786,35.96613930002786,35.96613930002786,36.37691960000666,36.37691960000666,None,i,1,0.6320896999677643,36.362591100041755,None,37.009619700023904,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0.0,0.5,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.59096370002953,37.69592830003239,37.682763700024225,37.682763700024225,37.682763700024225,38.093496999994386,38.093496999994386,None,i,1,0.6156152000185102,38.079236300021876,None,38.709358100022655,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0.0,0.5,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2908666000003,39.395755900011864,39.38287600001786,39.38287600001786,39.38287600001786,39.79365950002102,39.79365950002102,None,e,1,0.48269759997492656,39.77905220002867,None,40.276196699996945,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.87034130003303,42.27869480004301,42.24896470003296,42.36253199999919,42.36253199999919,42.75971710000886,42.75971710000886,None,i,1,0.4652326999930665,42.745378600026015,None,43.22578360000625,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
