cue_file,flanker,pos,correct,fix1,cue_time,stimStart,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_1.started,instr_1.stopped,image.started,image.stopped,instr_2.started,instr_2.stopped,image_2_1.started,image_2_1.stopped,image_2_2.started,image_2_2.stopped,text.started,text.stopped,image_3.started,image_3.stopped,instr_4.started,instr_4.stopped,image_4.started,image_4.stopped,pract_instr.started,pract_instr.stopped,fix_1.started,fix_1.stopped,pract_warning.started,pract_warning.stopped,fix_2.started,fix_2.stopped,pract_target.started,pract_target.stopped,pract_resp.keys,pract_resp.corr,pract_resp.rt,pract_resp.started,pract_resp.stopped,text_3.started,text_3.stopped,practice_res.started,practice_res.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,fixation_1.started,fixation_1.stopped,warning.started,warning.stopped,fixation_2.started,fixation_2.stopped,target.started,target.stopped,post_fixation.started,post_fixation.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,participant,date,expName,psychopyVersion,frameRate,
ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0.0,0.5,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.784132900007535,61.88515520002693,61.88515520002693,61.88515520002693,61.88515520002693,62.284466800047085,62.284466800047085,None,i,1,0.584491399989929,62.284466800047085,None,62.88364700000966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0.0,0.5,0,11,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.47191160003422,63.5866891000187,63.573672600032296,63.573672600032296,63.573672600032296,63.98440810001921,63.98440810001921,None,i,1,0.5155798000050709,63.97020710003562,None,64.50043680000817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,0,12,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.09556130005512,66.5033350000158,66.49019060004503,66.60389470000518,66.60389470000518,67.00099810003303,67.00099810003303,None,e,1,0.43475660000694916,66.98670900001889,None,67.43364410003414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8000000000000003,0,13,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.04858510004124,69.35311330005061,69.34006500005489,69.45390470005805,69.45390470005805,69.85108850005781,69.85108850005781,None,e,1,0.7321412999881431,69.83669780002674,None,70.58358320000116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1.0,0.1,1.5,0,14,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.16947770002298,72.16985830001067,72.15690690005431,72.27029770001536,72.27029770001536,72.66753050003899,72.66753050003899,None,i,1,0.4487811000435613,72.65339780005161,None,73.11700290004956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7000000000000002,0,15,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.70302740001353,74.90331470000092,74.8901699000271,75.00375470001018,75.00375470001018,75.40093660005368,75.40093660005368,None,e,1,0.5154331999947317,75.38668240001425,None,75.91700290003791,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,0,16,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.48325610003667,77.88658780005062,77.87354010000126,77.98684490000596,77.98684490000596,78.38424310000846,78.38424310000846,None,i,1,0.415364500018768,78.37004810001235,None,78.80024910002248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0.0,0.5,0,17,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.39230110001517,79.50320350000402,79.49010390002513,79.49010390002513,79.49010390002513,79.90100390004227,79.90100390004227,None,e,1,0.565343499998562,79.8867017000448,None,80.46696390002035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0.0,0.5,0,18,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.05745720001869,81.16993240005104,81.15665020002052,81.15665020002052,81.15665020002052,81.56757590000052,81.56757590000052,None,i,1,0.4319355000043288,81.55329860001802,None,82.0002388000139,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1.0,0.1,1.5,0,19,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.59142440004507,83.60324950003996,83.58998430002248,83.7034748000442,83.7034748000442,84.10031350003555,84.10031350003555,None,i,1,0.3820092999958433,84.08585870004026,None,84.48307470005238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2.0,0,20,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.05290750000859,86.55302360001951,86.54008030000841,86.65362220001407,86.65362220001407,87.05079590005334,87.05079590005334,None,e,1,0.43197289999807253,87.03671470005065,None,87.48352140001953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0.0,0.5,0,21,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0684634000063,88.16970950004179,88.15693610004382,88.15693610004382,88.15693610004382,88.56747000000905,88.56747000000905,None,i,1,0.6178821999928914,88.5533367000171,None,89.18356510001468,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,0,22,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.77227290003793,90.18645870004548,90.17328980000457,90.28716880001593,90.28716880001593,90.68418510002084,90.68418510002084,None,i,1,0.5152997999684885,90.6700872000074,None,91.20010940002976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,0,23,23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.79004690004513,92.90296250005485,92.88998050004011,93.00350100005744,93.00350100005744,93.40081580000697,93.40081580000697,None,e,1,0.41588549996959046,93.38644100003876,None,93.81684960005805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.21687970001949,None,space,0.9844417000422254,94.21687970001949,None,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.21706780005479,None,space,0.9344353000051342,95.21706780005479,None,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0.0,0.5,,,,,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.36392100004014,96.55232030001935,96.54437850002432,96.54437850002432,96.54437850002432,96.9508816000307,96.9508816000307,None,None,None,i,1,1.221402199997101,96.36392100004014,None,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/none.png,ANT_images/incong_l.png,-0.25,e,0.1,0.0,0.5,,,,,0,0,0,0,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.79324050003197,97.90295180003159,97.88935550005408,97.88935550005408,97.88935550005408,98.30085220001638,98.30085220001638,None,None,None,e,1,1.2752356000128202,97.79324050003197,None,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
