cue_file,flanker,pos,correct,fix1,cue_time,stimStart,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,instr_1.started,instr_1.stopped,image.started,image.stopped,instr_2.started,instr_2.stopped,image_2_1.started,image_2_1.stopped,image_2_2.started,image_2_2.stopped,text.started,text.stopped,image_3.started,image_3.stopped,instr_4.started,instr_4.stopped,image_4.started,image_4.stopped,pract_instr.started,pract_instr.stopped,fix_1.started,fix_1.stopped,pract_warning.started,pract_warning.stopped,fix_2.started,fix_2.stopped,pract_target.started,pract_target.stopped,pract_resp.keys,pract_resp.corr,pract_resp.rt,pract_resp.started,pract_resp.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,0,0,0,16,15.525689099973533,None,15.525689099973533,None,16.779090899974108,None,16.779090899974108,None,16.779090899974108,None,17.26524719997542,None,17.26524719997542,None,18.137202200014144,None,18.137202200014144,None,18.643377500004135,None,20.058404900017194,21.455325499991886,21.421233400003985,21.631990399968345,21.631990399968345,22.03645569999935,22.03645569999935,None,e,1,0.6991017999825999,21.821918200002983,None,22.57452129997546,None,,001,2020_Jul_01_1457,ANT,2020.1.3,60.02912613015317,
ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0.0,0.5,0,1,1,4,,,,,,,,,,,,,,,,,,,,,23.15056589996675,23.255259400000796,23.242507999995723,23.242507999995723,23.242507999995723,23.65292279998539,23.65292279998539,None,i,1,0.7325954000116326,23.63881799997762,None,24.385665700014215,None,,001,2020_Jul_01_1457,ANT,2020.1.3,60.02912613015317,
ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,0,2,2,10,,,,,,,,,,,,,,,,,,,,,24.97483199997805,25.688630999997258,25.675494499970227,25.789139100001194,25.789139100001194,26.18621349998284,26.18621349998284,None,i,1,0.5988012999878265,26.17196959996363,None,26.78567249997286,None,,001,2020_Jul_01_1457,ANT,2020.1.3,60.02912613015317,
ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0.0,0.5,0,3,3,21,,,,,,,,,,,,,,,,,,,,,27.38868099998217,27.488715299987234,27.488715299987234,27.488715299987234,27.488715299987234,27.88607409998076,27.88607409998076,None,i,1,0.5501443999819458,27.88607409998076,None,28.452047600003425,None,,001,2020_Jul_01_1457,ANT,2020.1.3,60.02912613015317,
ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1.0,0.1,1.5,0,4,4,9,,,,,,,,,,,,,,,,,,,,,29.037766799970996,30.038513700012118,30.025440099998377,30.139050400000997,30.139050400000997,30.536264700000174,30.536264700000174,None,i,1,1.3486916000256315,30.521916099998634,None,31.885573600011412,None,,001,2020_Jul_01_1457,ANT,2020.1.3,60.02912613015317,
ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8000000000000003,0,5,5,19,,,,,,,,,,,,,,,,,,,,,32.466658999968786,33.771772300009616,33.75867090001702,33.872441400017124,33.872441400017124,34.26968769996893,34.26968769996893,None,e,1,0.6653997999965213,34.255178099963814,None,34.93554340000264,None,,001,2020_Jul_01_1457,ANT,2020.1.3,60.02912613015317,
ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7000000000000002,0,6,6,14,,,,,,,,,,,,,,,,,,,,,35.52534180000657,36.73849809996318,36.72544820001349,36.83909889997449,36.83909889997449,37.236169299983885,37.236169299983885,None,i,1,0.3992887999629602,37.221899199998006,None,37.635421700018924,None,,001,2020_Jul_01_1457,ANT,2020.1.3,60.02912613015317,
ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0.0,0.5,0,7,7,0,,,,,,,,,,,,,,,,,,,,,38.2261549999821,38.338518899981864,38.32538349996321,38.32538349996321,38.32538349996321,38.73623119998956,38.73623119998956,None,e,1,0.4818043999839574,38.72222270001657,None,39.218862399982754,None,,001,2020_Jul_01_1457,ANT,2020.1.3,60.02912613015317,
ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8000000000000003,0,8,8,13,,,,,,,,,,,,,,,,,,,,,39.81083829997806,41.121644900005776,41.108646899985615,41.22235709999222,41.22235709999222,41.619568899972364,41.619568899972364,None,i,1,0.4323646000120789,41.60516719997395,None,42.05202040000586,None,,001,2020_Jul_01_1457,ANT,2020.1.3,60.02912613015317,
ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1.0,0.1,1.5,0,9,9,6,,,,,,,,,,,,,,,,,,,,,42.63951949996408,43.65485350001836,43.64173719997052,43.75523589999648,43.75523589999648,44.15255030000117,44.15255030000117,None,i,1,0.3822533000493422,44.13823430001503,None,44.5350167999859,None,,001,2020_Jul_01_1457,ANT,2020.1.3,60.02912613015317,
ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,0,10,10,23,,,,,,,,,,,,,,,,,,,,,45.11875389999477,45.521685099985916,45.50851539999712,45.62207370001124,45.62207370001124,46.01954199996544,46.01954199996544,None,i,1,0.5155015999916941,46.00503000000026,None,46.53539430000819,None,,001,2020_Jul_01_1457,ANT,2020.1.3,60.02912613015317,
ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0.0,0.5,0,11,11,2,,,,,,,,,,,,,,,,,,,,,47.122350199962966,47.22254340001382,47.22254340001382,47.22254340001382,47.22254340001382,47.61952050001128,47.61952050001128,None,e,1,0.5011260000173934,47.61952050001128,None,48.135267100005876,None,,001,2020_Jul_01_1457,ANT,2020.1.3,60.02912613015317,
