pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
e,1,0.754345,0,10,10,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.547295,0,11,11,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.579735,0,12,12,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.810065,0,13,13,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.568805,0,14,14,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.580005,0,15,15,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.77015,0,16,16,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.599945,0,17,17,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.829475,0,18,18,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.58903,0,19,19,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.73428,0,20,20,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.75914,0,21,21,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.618615,0,22,22,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.494805,0,23,23,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,0.25,e,1.2,0.1,1.7,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,space,3.06025,space,6.72382,,0,0,0,0,14,1,0.5,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,0,0,1,1,39,1,0.3,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,0,0,2,2,25,1,0.5,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,0.25,e,0.6,0.1,1.1,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,e,1,0,3,3,26,1,1.1,1.5525,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,0.25,e,0.6,0.1,1.1,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,e,1,0,4,4,24,1,1.1,1.60547,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,0,0,5,5,35,1,0.1,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,program,2020-08-14_16h43.33.169,ANT,2020.1.3,Win32,60,,,,,,0,0,6,6,29,1,0.8,,,,,,,,,,,
