pract_resp.keys,pract_resp.corr,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,-0.25,e,0.5,0.1,1,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,space,2.782395,space,4.134695,e,1,1.562755,0,0,0,30,1,1.2,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,-0.25,i,1.6,0.1,2.1,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,1,1,21,1,0.1,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,0.25,e,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,e,1,1.11039,0,2,2,0,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,-0.25,i,1.1,0.1,1.6,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,3,3,33,1,0.6,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,4,4,29,1,0.8,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,5,5,44,1,0.5,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,1,1.43293,0,6,6,17,1,1.3,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,7,7,22,1,0.4,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,8,8,46,1,0.4,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,9,9,47,1,0.7,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/cong_r.png,-0.25,i,0.4,0.1,0.9,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,1,1.400965,0,10,10,45,1,1.3,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,-0.25,e,1.5,0.1,2,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,11,11,20,1,0.2,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,12,12,40,1,1.2,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,13,13,42,1,0.9,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,1,1.052615,0,14,14,9,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,-0.25,i,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,1,1.046745,0,15,15,7,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,16,16,31,1,1,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,17,17,35,1,0.1,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,18,18,34,1,0.2,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,19,19,18,1,0.9,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,20,20,25,1,0.5,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,21,21,41,1,0.8,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,-0.25,i,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,1,1.2473,0,22,22,11,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,-0.25,e,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,e,1,1.1578,0,23,23,10,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,e,1,1.01795,0,24,24,8,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/neu_r.png,0.25,i,0.8,0.1,1.3,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,25,25,37,1,0.9,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,-0.25,e,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,e,1,0.951455,0,26,26,6,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,0.25,e,0.6,0.1,1.1,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,e,1,1.527905,0,27,27,26,1,1.1,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,-0.25,e,0.4,0.1,0.9,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,0,1.44158,0,28,28,32,1,1.3,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/neu_r.png,-0.25,i,0.6,0.1,1.1,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,1,1.582875,0,29,29,43,1,1.1,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,1,1.400335,0,30,30,5,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,1,1.000695,0,31,31,1,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,32,32,19,1,1,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,0.25,e,1.2,0.1,1.7,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,33,33,14,1,0.5,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,34,34,38,1,0.2,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,35,35,39,1,0.3,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,0.25,e,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,e,1,1.02019,0,36,36,4,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,-0.25,i,0.9,0.1,1.4,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,37,37,23,1,0.8,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,0.25,e,0.6,0.1,1.1,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,e,1,1.60106,0,38,38,24,1,1.1,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,e,1,1.01878,0,39,39,2,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,40,40,15,1,0.3,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,e,1,1.470315,0,41,41,16,1,1.2,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,42,42,13,1,0.7,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,1,0.894425,0,43,43,3,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,44,44,12,1,0.6,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,0.25,e,1,0.1,1.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,45,45,28,1,0.7,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,46,46,27,1,0.4,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,0,47,47,36,1,0.3,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,0.25,e,1.2,0.1,1.7,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,0,48,14,1,0.5,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,-0.25,e,0.4,0.1,0.9,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,e,1,1.52021,1,1,49,32,1,1.3,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,-0.25,e,0.5,0.1,1,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,e,1,1.46235,1,2,50,30,1,1.2,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,1,1.476285,1,3,51,17,1,1.3,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,4,52,13,1,0.7,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,e,1,1.415435,1,5,53,40,1,1.2,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,0.25,e,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,e,1,0.97579,1,6,54,4,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,7,55,34,1,0.2,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/neu_r.png,-0.25,i,0.6,0.1,1.1,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,8,56,43,1,1.1,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,9,57,39,1,0.3,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,0.25,e,1,0.1,1.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,10,58,28,1,0.7,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,11,59,42,1,0.9,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,1,0.997415,1,12,60,1,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,1,1.01769,1,13,61,3,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,14,62,35,1,0.1,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,15,63,22,1,0.4,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,0.25,e,0.6,0.1,1.1,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,16,64,26,1,1.1,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,17,65,47,1,0.7,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,e,1,1.16306,1,18,66,2,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,1,1.655735,1,19,67,31,1,1,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,20,68,29,1,0.8,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,21,69,38,1,0.2,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,-0.25,i,1.6,0.1,2.1,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,22,70,21,1,0.1,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,23,71,46,1,0.4,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,24,72,18,1,0.9,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,1,1.190035,1,25,73,5,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,26,74,41,1,0.8,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,27,75,36,1,0.3,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,0.25,e,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,e,1,0.95763,1,28,76,0,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/cong_r.png,-0.25,i,0.4,0.1,0.9,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,1,1.376355,1,29,77,45,1,1.3,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,-0.25,e,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,0,1.024855,1,30,78,6,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,1,1.061905,1,31,79,9,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,0.25,e,0.6,0.1,1.1,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,32,80,24,1,1.1,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/neu_r.png,0.25,i,0.8,0.1,1.3,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,33,81,37,1,0.9,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,-0.25,i,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,i,1,1.149315,1,34,82,7,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,35,83,44,1,0.5,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,e,1,1.06706,1,36,84,8,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,-0.25,e,1.5,0.1,2,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,,,,,,,0,,1,37,85,20,1,0.2,,,,,,,,,,
