cue_file,flanker,pos,correct,fix1,cue_time,stimStart,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,postFix,instr_1.started,instr_1.stopped,image.started,image.stopped,instr_2.started,instr_2.stopped,image_2_1.started,image_2_1.stopped,image_2_2.started,image_2_2.stopped,text.started,text.stopped,image_3.started,image_3.stopped,instr_4.started,instr_4.stopped,image_4.started,image_4.stopped,pract_instr.started,pract_instr.stopped,fix_1.started,fix_1.stopped,pract_warning.started,pract_warning.stopped,fix_2.started,fix_2.stopped,pract_target.started,pract_target.stopped,pract_resp.keys,pract_resp.corr,pract_resp.rt,pract_resp.started,pract_resp.stopped,text_3.started,text_3.stopped,practice_res.started,practice_res.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,fixation_1.started,fixation_1.stopped,warning.started,warning.stopped,fixation_2.started,fixation_2.stopped,target.started,target.stopped,response.keys,response.corr,response.started,response.stopped,participant,date,expName,psychopyVersion,frameRate,
ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1.0,0.1,1.5,0,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.665904099994805,42.67433569999412,42.6445090000052,42.758197300019674,42.758197300019674,43.155347599997185,43.155347599997185,None,i,1,0.4488112000399269,43.14111079997383,None,43.60464299999876,None,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0652,ANT,2020.1.3,59.963074736634844,
ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2.0,0,11,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.192147199995816,45.70758460002253,45.69466159999138,45.80798440001672,45.80798440001672,46.20541499997489,46.20541499997489,None,e,1,0.56528859998798,46.191138399997726,None,46.77143789996626,None,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0652,ANT,2020.1.3,59.963074736634844,
ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7000000000000002,0,12,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.35966610000469,48.57430400000885,48.561083399981726,48.67476109997369,48.67476109997369,49.072128999978304,49.072128999978304,None,e,1,0.5154099999926984,49.057733799971174,None,49.588029799982905,None,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0652,ANT,2020.1.3,59.963074736634844,
ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7000000000000002,0,13,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.179971600009594,51.39084339997498,51.37790690001566,51.49153629998909,51.49153629998909,51.88876659999369,51.88876659999369,None,i,1,0.43202690000180155,51.8743506000028,None,52.32146810000995,None,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0652,ANT,2020.1.3,59.963074736634844,
ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,0,14,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.91576709999936,53.72382299997844,53.69392599997809,53.80770040000789,53.80770040000789,54.2049925000174,54.2049925000174,None,e,1,0.44832780002616346,54.19053530000383,None,54.654435799981,None,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0652,ANT,2020.1.3,59.963074736634844,
ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0.0,0.5,0,15,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.23965780000435,55.340678000007756,55.327885399980005,55.327885399980005,55.327885399980005,55.738631599990185,55.738631599990185,None,e,1,0.5653868999797851,55.72439879999729,None,56.30454599997029,None,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0652,ANT,2020.1.3,59.963074736634844,
ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0.0,0.5,0,16,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.88993020000635,56.99080809997395,56.97778329998255,56.97778329998255,56.97778329998255,57.3869335000054,57.3869335000054,None,e,1,0.5331073999986984,57.37346350000007,None,57.92117290000897,None,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0652,ANT,2020.1.3,59.963074736634844,
ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8000000000000003,0,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.50134939997224,59.80744980002055,59.794589500001166,59.90809779998381,59.90809779998381,60.30531089997385,60.30531089997385,None,e,1,0.548448899993673,60.29117460001726,None,60.85464380000485,None,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0652,ANT,2020.1.3,59.963074736634844,
ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1.0,0.1,1.5,0,18,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.44239400001243,62.457512599998154,62.44456119998358,62.55798350000987,62.55798350000987,62.95531390001997,62.95531390001997,None,i,1,0.6152128999819979,62.941061999998055,None,63.571380499983206,None,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0652,ANT,2020.1.3,59.963074736634844,
ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0.0,0.5,0,19,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.17068839998683,64.27408419997664,64.26106150000123,64.26106150000123,64.26106150000123,64.6718838000088,64.6718838000088,None,i,1,0.5333561000297777,64.65750719996868,None,65.20450609998079,None,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0652,ANT,2020.1.3,59.963074736634844,
ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8000000000000003,0,20,20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.79682260000845,67.10733159998199,67.09446529997513,67.20808989997022,67.20808989997022,67.60508549999213,67.60508549999213,None,i,1,0.46608179999748245,67.5910638999776,None,68.07119479996618,None,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0652,ANT,2020.1.3,59.963074736634844,
ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,0,21,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.65888820000691,69.57362809998449,69.56057269999292,69.67419170000358,69.67419170000358,70.07147570000961,70.07147570000961,None,i,1,0.5171033999649808,70.05717029998777,None,70.58744019997539,None,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0652,ANT,2020.1.3,59.963074736634844,
ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,0,22,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.17178279999644,72.77404739998747,72.76092849997804,72.87461300002178,72.87461300002178,73.27193539997097,73.27193539997097,None,i,1,0.565532400039956,73.25745510001434,None,73.83783510001376,None,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0652,ANT,2020.1.3,59.963074736634844,
ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1.0,0.1,1.5,0,23,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.42643829999724,75.44023180002114,75.42706369998632,75.54064620001009,75.54064620001009,75.93826450000051,75.93826450000051,None,i,1,0.44760709995171055,75.92404539999552,None,76.38728759996593,None,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0652,ANT,2020.1.3,59.963074736634844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.78759839996928,None,space,0.7679679999710061,76.78759839996928,None,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0652,ANT,2020.1.3,59.963074736634844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5712728999788,None,space,0.5348640000447631,77.5712728999788,None,,,,,,,,,,,,,,2020_Jul_09_0652,ANT,2020.1.3,59.963074736634844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.3476854999899,79.34170119999908,79.33434329996817,79.56842239998514,79.56842239998514,79.97177820000798,79.97177820000798,None,None,0,78.3476854999899,80.05503280000994,,,,,,
