cue_file,flanker,pos,correct,fix1,cue_time,stimStart,postFix,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_1.started,instr_1.stopped,image.started,image.stopped,instr_2.started,instr_2.stopped,image_2_1.started,image_2_1.stopped,image_2_2.started,image_2_2.stopped,text.started,text.stopped,image_3.started,image_3.stopped,instr_4.started,instr_4.stopped,image_4.started,image_4.stopped,pract_instr.started,pract_instr.stopped,fix_1.started,fix_1.stopped,pract_warning.started,pract_warning.stopped,fix_2.started,fix_2.stopped,pract_target.started,pract_target.stopped,pract_resp.keys,pract_resp.corr,pract_resp.rt,pract_resp.started,pract_resp.stopped,text_3.started,text_3.stopped,practice_res.started,practice_res.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,fixation_1.started,fixation_1.stopped,warning.started,warning.stopped,fixation_2.started,fixation_2.stopped,target.started,target.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,postfix.started,postfix.stopped,participant,date,expName,psychopyVersion,frameRate,
ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7000000000000002,,0,10,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.09355389996199,39.30609269998968,39.29289969999809,39.40613770001801,39.40613770001801,39.80351349996636,39.80351349996636,None,i,1,0.3993507999693975,39.78932009998243,None,40.20285060000606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8000000000000003,,0,11,11,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7102053000126,42.02266399998916,42.00938609999139,42.12322199996561,42.12322199996561,42.520297100010794,42.520297100010794,None,e,1,0.5652924999594688,42.506138400000054,None,43.08621089998633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,,0,12,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.59818279999308,45.00582179997582,44.99289489997318,45.10647220001556,45.10647220001556,45.503603699966334,45.503603699966334,None,e,1,0.48188289999961853,45.489590999961365,None,45.986137499974575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,,0,13,13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.47596389998216,47.389128100010566,47.37588979996508,47.489698399964254,47.489698399964254,47.88688170001842,47.88688170001842,None,i,1,0.549229700001888,47.87253260001307,None,48.4363404000178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0.0,0.5,,0,14,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.935574600007385,49.03913879999891,49.02623550000135,49.02623550000135,49.02623550000135,49.43696490000002,49.43696490000002,None,e,1,0.6821156999794766,49.42262949998258,None,50.11943469999824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1.0,0.1,1.5,,0,15,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.629397900018375,51.639198199962266,51.60947229998419,51.72290890000295,51.72290890000295,52.12033110001357,52.12033110001357,None,i,1,0.44761600001947954,52.1061227999744,None,52.569312800012995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7000000000000002,,0,16,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.06756379996659,54.272499799961224,54.2593231999781,54.372748899972066,54.372748899972066,54.77036709996173,54.77036709996173,None,e,1,0.46559649996925145,54.755895300011616,None,55.23630409996258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0.0,0.5,,0,17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.74346229998628,55.85580029996345,55.84260450000875,55.84260450000875,55.84260450000875,56.25371429999359,56.25371429999359,None,i,1,0.7656581999617629,56.239062000007834,None,57.01938229997177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,,0,18,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.529364999965765,58.938934899982996,58.909128699975554,59.02305209997576,59.02305209997576,59.42016809998313,59.42016809998313,None,i,1,0.4154065999900922,59.40585079998709,None,59.83616860001348,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0.0,0.5,,0,19,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.34165319998283,60.45581959997071,60.44285069999751,60.44285069999751,60.44285069999751,60.85354139999254,60.85354139999254,None,i,1,0.6144249999779277,60.83929570001783,None,61.4695756000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
