cue_file,flanker,pos,correct,fix1,cue_time,stimStart,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,instr_1.started,instr_1.stopped,image.started,image.stopped,instr_2.started,instr_2.stopped,image_2_1.started,image_2_1.stopped,image_2_2.started,image_2_2.stopped,text.started,text.stopped,image_3.started,image_3.stopped,instr_4.started,instr_4.stopped,image_4.started,image_4.stopped,pract_instr.started,pract_instr.stopped,fix_1.started,fix_1.stopped,pract_warning.started,pract_warning.stopped,fix_2.started,fix_2.stopped,pract_target.started,pract_target.stopped,pract_resp.keys,pract_resp.corr,pract_resp.rt,pract_resp.started,pract_resp.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,0,0,0,11,14.040204499964602,None,14.040204499964602,None,14.886358099989593,None,14.886358099989593,None,14.886358099989593,None,15.32704730000114,None,15.32704730000114,None,15.660305899975356,None,15.660305899975356,None,15.995583299954887,None,16.75665039999876,18.35189699998591,18.344535599986557,18.560151699988637,18.560151699988637,19.001963199989405,19.001963199989405,None,i,1,0.8842555999872275,18.73984609998297,None,19.662986799958162,None,,001,2020_Jul_01_1501,ANT,2020.1.3,59.98782249104464,
ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2.0,0,1,1,12,,,,,,,,,,,,,,,,,,,,,20.240735100000165,21.739997199969366,21.739997199969366,21.84000929998001,21.84000929998001,22.23732590000145,22.23732590000145,None,e,1,0.6347255000146106,22.23732590000145,None,22.886591799964663,None,,001,2020_Jul_01_1501,ANT,2020.1.3,59.98782249104464,
ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1.0,0.1,1.5,0,2,2,6,,,,,,,,,,,,,,,,,,,,,23.472891499986872,24.472721999976784,24.45992929994827,24.573489799979143,24.573489799979143,24.970667299989145,24.970667299989145,None,i,1,0.43898890004493296,24.956216599966865,None,25.406286699988414,None,,001,2020_Jul_01_1501,ANT,2020.1.3,59.98782249104464,
ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,0,3,3,5,,,,,,,,,,,,,,,,,,,,,26.04982509999536,26.855750099988654,26.8425776999793,26.956154399958905,26.956154399958905,27.353535899950657,27.353535899950657,None,e,1,0.4812128000194207,27.339473099971656,None,27.836275399953593,None,,001,2020_Jul_01_1501,ANT,2020.1.3,59.98782249104464,
ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0.0,0.5,0,4,4,21,,,,,,,,,,,,,,,,,,,,,28.420140100002754,28.522603299992625,28.50956999999471,28.50956999999471,28.50956999999471,28.920486799965147,28.920486799965147,None,i,1,0.5986941999872215,28.90628840000136,None,29.519834099977743,None,,001,2020_Jul_01_1501,ANT,2020.1.3,59.98782249104464,
ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1.0,0.1,1.5,0,5,5,20,,,,,,,,,,,,,,,,,,,,,30.097902499954216,31.106026699999347,31.07638489996316,31.18976290000137,31.18976290000137,31.587192499951925,31.587192499951925,None,i,1,0.6480149000417441,31.572829099954106,None,32.23644809995312,None,,001,2020_Jul_01_1501,ANT,2020.1.3,59.98782249104464,
ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,0,6,6,23,,,,,,,,,,,,,,,,,,,,,32.8292990999762,33.23933509999188,33.22628859995166,33.33999499998754,33.33999499998754,33.73721019999357,33.73721019999357,None,i,1,0.5487313000485301,33.72290130000329,None,34.28645169996889,None,,001,2020_Jul_01_1501,ANT,2020.1.3,59.98782249104464,
ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,0,7,7,7,,,,,,,,,,,,,,,,,,,,,34.87480890000006,35.98943269997835,35.97633489995496,36.08999919996131,36.08999919996131,36.48721679998562,36.48721679998562,None,e,1,0.4823204000131227,36.47270739998203,None,36.969605799997225,None,,001,2020_Jul_01_1501,ANT,2020.1.3,59.98782249104464,
ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,0,8,8,16,,,,,,,,,,,,,,,,,,,,,37.55408069997793,38.95591299998341,38.942984299967065,39.05666229996132,39.05666229996132,39.453650399984326,39.453650399984326,None,e,1,0.5992937000119127,39.43964169995161,None,40.05291549995309,None,,001,2020_Jul_01_1501,ANT,2020.1.3,59.98782249104464,
ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,0,9,9,8,,,,,,,,,,,,,,,,,,,,,40.63621049997164,42.03924699994968,42.02621779998299,42.13980879995506,42.13980879995506,42.536696399969514,42.536696399969514,None,i,1,0.44825049996143207,42.52240299998084,None,42.98594109999249,None,,001,2020_Jul_01_1501,ANT,2020.1.3,59.98782249104464,
