cue_file,flanker,pos,correct,fix1,cue_time,stimStart,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,instr_1.started,instr_1.stopped,image.started,image.stopped,instr_2.started,instr_2.stopped,image_2_1.started,image_2_1.stopped,image_2_2.started,image_2_2.stopped,text.started,text.stopped,image_3.started,image_3.stopped,instr_4.started,instr_4.stopped,image_4.started,image_4.stopped,pract_instr.started,pract_instr.stopped,fix_1.started,fix_1.stopped,pract_warning.started,pract_warning.stopped,fix_2.started,fix_2.stopped,pract_target.started,pract_target.stopped,pract_resp.keys,pract_resp.corr,pract_resp.rt,pract_resp.started,pract_resp.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1.0,0.1,1.5,0,0,0,9,14.235641199979,None,14.235641199979,None,14.754681299964432,None,14.754681299964432,None,14.754681299964432,None,15.149816599965561,None,15.149816599965561,None,15.488093399966601,None,15.488093399966601,None,15.822129999985918,None,16.50705979997292,17.58205899997847,17.574443899968173,17.793126499978825,17.793126499978825,18.223195799975656,18.223195799975656,None,i,1,0.715350300015416,17.96773699996993,None,18.745524499972817,None,,001,2020_Jul_01_1506,ANT,2020.1.3,59.994516508327045,
ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8000000000000003,0,1,1,22,,,,,,,,,,,,,,,,,,,,,19.31064119999064,20.617386700003408,20.604050899972208,20.717860399978235,20.717860399978235,21.11517509998521,21.11517509998521,None,e,1,0.6655443999916315,21.100795999984257,None,21.78118499997072,None,,001,2020_Jul_01_1506,ANT,2020.1.3,59.994516508327045,
ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8000000000000003,0,2,2,19,,,,,,,,,,,,,,,,,,,,,22.36409139999887,23.667465200007427,23.65413839998655,23.76784340001177,23.76784340001177,24.165257299959194,24.165257299959194,None,e,1,0.6155365000013262,24.1507341999677,None,24.781022000010125,None,,001,2020_Jul_01_1506,ANT,2020.1.3,59.994516508327045,
ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0.0,0.5,0,3,3,1,,,,,,,,,,,,,,,,,,,,,25.365778899984434,25.467408999975305,25.45420819998253,25.45420819998253,25.45420819998253,25.865259499987587,25.865259499987587,None,i,1,0.749773399962578,25.8507205999922,None,26.616168199980166,None,,001,2020_Jul_01_1506,ANT,2020.1.3,59.994516508327045,
ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0.0,0.5,0,4,4,0,,,,,,,,,,,,,,,,,,,,,27.219003900012467,27.3339615999721,27.32094549998874,27.32094549998874,27.32094549998874,27.731926399981603,27.731926399981603,None,e,1,0.5811494999798015,27.717509699985385,None,28.31405270000687,None,,001,2020_Jul_01_1506,ANT,2020.1.3,59.994516508327045,
ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,0,5,5,10,,,,,,,,,,,,,,,,,,,,,28.907226599985734,29.617223499983083,29.604092800000217,29.718023800000083,29.718023800000083,30.115118000016082,30.115118000016082,None,i,1,0.6322582999709994,30.10081450000871,None,30.747725299966987,None,,001,2020_Jul_01_1506,ANT,2020.1.3,59.994516508327045,
ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,0,6,6,11,,,,,,,,,,,,,,,,,,,,,31.344219299964607,32.95060609997017,32.93767349998234,33.05114349996438,33.05114349996438,33.44840799999656,33.44840799999656,None,i,1,0.6663332000025548,33.43419429997448,None,34.11444209999172,None,,001,2020_Jul_01_1506,ANT,2020.1.3,59.994516508327045,
ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1.0,0.1,1.5,0,7,7,20,,,,,,,,,,,,,,,,,,,,,34.70259060000535,35.716859599982854,35.70384109998122,35.817268799990416,35.817268799990416,36.21460669999942,36.21460669999942,None,i,1,0.5821760999970138,36.200437899969984,None,36.797559799975716,None,,001,2020_Jul_01_1506,ANT,2020.1.3,59.994516508327045,
ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8000000000000003,0,8,8,13,,,,,,,,,,,,,,,,,,,,,37.38103210000554,38.68388969998341,38.6709661000059,38.78452849999303,38.78452849999303,39.1815981999971,39.1815981999971,None,i,1,0.48215180000988767,39.16718340001535,None,39.66436369996518,None,,001,2020_Jul_01_1506,ANT,2020.1.3,59.994516508327045,
ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0.0,0.5,0,9,9,4,,,,,,,,,,,,,,,,,,,,,40.249770599999465,40.350428199977614,40.3374644999858,40.3374644999858,40.3374644999858,40.74833430000581,40.74833430000581,None,i,1,0.8488264000043273,40.7338546999963,None,41.59743069997057,None,,001,2020_Jul_01_1506,ANT,2020.1.3,59.994516508327045,
